"Tweet Id","Tweet URL","Tweet Posted Time (UTC)","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location",Lat,Long,"Tweet Language","User Id",Name,"Screen Name","User Bio","Verified or Non-Verified","Profile URL","Protected or Non-protected","User Followers","User Following","User Account Creation Date"
"""1230557740839231489""",https://twitter.com/elizabarclay/status/1230557740839231489,"20 Feb 2020 18:20:02","Read @juliaoftoronto's latest piece on new insight into how #COVID2019 #Coronavirus spreads and why it's more contagious than SARS and MERS https://t.co/cq6T6Vo3qE",Tweet,"Twitter Web App",10,12,"Washington, DC",,,English,"""17613261""","Eliza Barclay",elizabarclay,"Science, health, climate editor @voxdotcom. Mindfulness meditation teacher trained by @Engaged_Mindful. Handstander.",Verified,https://twitter.com/elizabarclay,Non-Protected,9219,2139,"25 Nov 2008 05:27:20"
"""1230557530180345856""",https://twitter.com/indiatvnews/status/1230557530180345856,"20 Feb 2020 18:19:12","The novel #coronavirus scare has reduced the consumption of #chicken in #Maharashtra, with the poultry sector in the state recording over Rs 100 crore loss in the last fortnight
https://t.co/dfUFFOxHei",Tweet,"Twitter Web Client",8,33,India,,,English,"""34245009""","India TV",indiatvnews,"India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:http://www.FB.com/IndiaTVNews",Verified,https://twitter.com/indiatvnews,Non-Protected,891481,36,"22 Apr 2009 11:26:34"
"""1230557343835803649""",https://twitter.com/theNWpodcast/status/1230557343835803649,"20 Feb 2020 18:18:28","Hear from @syramadad about the #coronavirus disease on today's Thing To Know Thursday segment of The NewsWorthy (after the day's news): https://t.co/v6eYWpGxE1   #pandemicnetflix https://t.co/DVUvFmJZKE",Tweet,"Twitter Web App",4,13,"Los Angeles, CA",,,English,"""21271480""","The NewsWorthy with Erica Mandy",theNWpodcast,"The day’s news made more convenient &amp; less depressing— in less than 10 min each weekday https://www.theNewsWorthy.com",Verified,https://twitter.com/theNWpodcast,Non-Protected,3609,1262,"19 Feb 2009 03:20:37"
"""1230555968746000384""",https://twitter.com/GHS/status/1230555968746000384,"20 Feb 2020 18:13:00","Confirmed #COVID19 cases as of 20 Feb @WHO https://t.co/eFOnAYtP2a #coronavirus

🌎Total: 75,765
🇨🇳: 74,675
🚢: 634*
🇰🇷: 104
🇯🇵: 85
🇸🇬: 85
🇹🇭: 35
🇲🇾: 22
🇩🇪, 🇻🇳: 16
🇦🇺, 🇺🇸: 15
🇫🇷: 12
🇬🇧, 🇦🇪: 9
🇨🇦: 8
🇮🇷: 5
🇮🇳, 🇵🇭, 🇮🇹: 3
🇷🇺, 🇪🇸: 2
🇰🇭, 🇫🇮, 🇳🇵, 🇱🇰, 🇸🇪, 🇧🇪, 🇪🇬: 1

*Diamond Princess",Tweet,TweetDeck,23,17,NY/Delhi/Rio/Beijing/Nairobi/Joburg/London,,,English,"""201421060""","Global Health Strategies",GHS,"We believe in the power of advocacy &amp; communications to advance health &amp; wellbeing around the world, leaving no one behind. Tweet views = ours.",Verified,https://twitter.com/GHS,Non-Protected,27964,2562,"11 Oct 2010 20:28:35"
"""1230555681356312577""",https://twitter.com/anadoluagency/status/1230555681356312577,"20 Feb 2020 18:11:51","#Iraq shuts border crossings with #Iran amid #corona fear 

2 deaths confirmed in Iran 

#coronavirus #outbreak

https://t.co/LNZuly7J2x https://t.co/PTS1xar9fS",Tweet,aa.com.tr,7,8,"Ankara - TURKEY",,,English,"""240265305""","ANADOLU AGENCY (ENG)",anadoluagency,"Official Twitter account of Anadolu Agency English News                 
[ Turkish: @anadoluajansi / Arabic: @aa_arabic / Français: @aa_french ]",Verified,https://twitter.com/anadoluagency,Non-Protected,128852,24,"19 Jan 2011 14:45:49"
"""1230555364132900864""",https://twitter.com/JustinHires/status/1230555364132900864,"20 Feb 2020 18:10:36","I received a package from China! I hope it’s Corona free!😷😁 #JustinHires #China #CoronaVirus https://t.co/IDG3dKO8Gb",Tweet,Instagram,1,20,"Los Angeles, CA",,,English,"""42101523""","J. Hires",JustinHires,"&quot;CHAPTER 1: I DO THIS TOO&quot; - OUT NOW ON MUSIC STREAMING PLATFORMS🔥 (link in bio⬇️) | ‘MacGyver’ Fridays 8/7c on CBS📎",Verified,https://twitter.com/JustinHires,Non-Protected,65115,493,"23 May 2009 21:31:21"
"""1230555294301749258""",https://twitter.com/indiatvnews/status/1230555294301749258,"20 Feb 2020 18:10:19","About 100 Indians to be brought back from Wuhan by military aircraft: MEA

#coronavirus 

https://t.co/Ml3nkKqEOZ",Tweet,"Twitter Web App",12,115,India,,,English,"""34245009""","India TV",indiatvnews,"India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:http://www.FB.com/IndiaTVNews",Verified,https://twitter.com/indiatvnews,Non-Protected,891481,36,"22 Apr 2009 11:26:34"
"""1230555224252641280""",https://twitter.com/globaltimesnews/status/1230555224252641280,"20 Feb 2020 18:10:02","Indicators reveal the #coronavirus outbreak has created a liquidity crunch for embattled Chinese conglomerate #HNAGroup, possibly pushing the Hainan-based company to the brink of a meltdown and stoking speculation of an alleged takeover: report https://t.co/zCA0MsXh4P https://t.co/3BMtlcVEtH",Tweet,Buffer,8,21,"Beijing, China",,,English,"""49616273""","Global Times",globaltimesnews,"China's national English language newspaper, under the People's Daily. Apps: http://bit.ly/1UEg2hp",Verified,https://twitter.com/globaltimesnews,Non-Protected,1634337,498,"22 Jun 2009 12:41:39"
"""1230555112117960706""",https://twitter.com/newsvishvas/status/1230555112117960706,"20 Feb 2020 18:09:35","#SachKeSathi #HealthFactCheck   
Fake news around #CoronaVirus which are being spread, @urvvashii of @newsvishvas with more info.

#Delhi 
#CoronaVirusKaSach
#CoronaVirusFacts
@rajeshu @pratyush_ranjan https://t.co/O1B7LfqIqd",Tweet,"Twitter for iPhone",1,2,"New Delhi, India",,,English,"""1062588389445128194""",Vishvas.News,newsvishvas,"http://Vishvasnews.com is a premier Hindi fact checking website that is committed to debunking misinformation, disinformation and mal-information.",Verified,https://twitter.com/newsvishvas,Non-Protected,1159,33,"14 Nov 2018 06:09:48"
"""1230554341444116480""",https://twitter.com/HHSGov/status/1230554341444116480,"20 Feb 2020 18:06:32","If you’ve recently returned from China, know the symptoms of #COVID19. These include mild to severe respiratory illness with: 
•Fever
•Cough
•Shortness of breath.
More at: https://t.co/KUFgJeONn6 https://t.co/D1cdyISIA3",Tweet,"Sprinklr Publishing",48,46,"Washington, D.C.",,,English,"""44783853""",HHS.gov,HHSGov,"News and information from the U.S. Department of Health &amp; Human Services (HHS). Privacy policy: https://www.hhs.gov/privacy.html.",Verified,https://twitter.com/HHSGov,Non-Protected,807000,395,"05 Jun 2009 01:14:31"
"""1230553171237523456""",https://twitter.com/NHSTayside/status/1230553171237523456,"20 Feb 2020 18:01:53","Here’s the latest public information on #coronavirus.
If you have returned from mainland China or specified countries in the past 14 days please follow returning travellers advice. For list of countries https://t.co/exY2ooj6fu
Or call 0800 028 2816 https://t.co/ViQKGKXQfR",Tweet,"Hootsuite Inc.",0,0,Tayside,,,English,"""156287157""","NHS Tayside",NHSTayside,"Everyone has the best care experience possible",Verified,https://twitter.com/NHSTayside,Non-Protected,12832,227,"16 Jun 2010 14:34:44"
"""1230553016266297344""",https://twitter.com/MSFsci/status/1230553016266297344,"20 Feb 2020 18:01:16","2019 Novel #Coronavirus: New Clinical Insights in @JWatch: https://t.co/ECqqLh9D5l #COVID-19",Tweet,"Hootsuite Inc.",0,1,"London, England",,,English,"""2170999954""","MSF Science",MSFsci,"Research @ Médecins Sans Frontières. Global health research and innovation for humanitarian action. Home of the MSF Scientific Days",Verified,https://twitter.com/MSFsci,Non-Protected,12095,3609,"06 Nov 2013 16:17:29"
"""1230552961308336128""",https://twitter.com/NYSConsumer/status/1230552961308336128,"20 Feb 2020 18:01:03","Watch out for emails claiming to be from the Centers for Disease Control (CDC) or any “expert” claiming to have info about the virus. For the most up to date information on the #Coronavirus, visit @cdc or @WHO.",Tweet,"Hootsuite Inc.",1,0,"State of New York",,,English,"""83685210""","NYS Division of Consumer Protection",NYSConsumer,"NYS Department of State, Division of Consumer Protection--NY's top consumer watchdog and think tank | Like us on faceboook http://ow.ly/KKaGv",Verified,https://twitter.com/NYSConsumer,Non-Protected,1693,347,"19 Oct 2009 20:47:06"
"""1230552941200728064""",https://twitter.com/jsjxyz/status/1230552941200728064,"20 Feb 2020 18:00:58","#coronavirus disruption https://t.co/zVPeIMSc6D",Tweet,"Twitter for iPad",0,0,"Jakarta Capital Region",,,English,"""15286263""","Jerry S. Justianto",jsjxyz,"To be old and cool, first you must be young and geek.",Verified,https://twitter.com/jsjxyz,Non-Protected,7000,1658,"01 Jul 2008 08:34:18"
"""1230552909726789633""",https://twitter.com/HealthyFla/status/1230552909726789633,"20 Feb 2020 18:00:50","It's a little early for spring cleaning your home but things &amp; surfaces that are touched a lot should be cleaned regularly with soap &amp; water. Do this and protect your family from getting sick. https://t.co/08O2GMqIvF #HealthyHomesFlorida #COVID19 https://t.co/W1HyYOacYO",Tweet,"Hootsuite Inc.",6,6,"Tallahassee, FL",,,English,"""296814488""","Florida Dept. Health",HealthyFla,"Healthy conversations in the Sunshine State through public health resources &amp; info. Disclaimer: https://goo.gl/RDwPzQ",Verified,https://twitter.com/HealthyFla,Non-Protected,18193,1666,"11 May 2011 13:04:24"
"""1230552701685157888""",https://twitter.com/PDChina/status/1230552701685157888,"20 Feb 2020 18:00:01","Doctor and patient are seen exchanging each other's Tai Chi skills in one of the temporary hospitals for #COVID19 patients in #Wuhan. #Kungfu https://t.co/BZGLTFATpB",Tweet,TweetDeck,74,423,"Beijing, China",,,English,"""303862998""","People's Daily, China",PDChina,"The largest newspaper in China",Verified,https://twitter.com/PDChina,Non-Protected,7082039,4583,"23 May 2011 15:00:26"
"""1230552701064245254""",https://twitter.com/thepapercn/status/1230552701064245254,"20 Feb 2020 18:00:01","While supporting Wuhan to fight against #coronavirus, a nurse from the First Affiliated Hospital of Xi'an Jiaotong University performs a ""gesture dance"" to cheer up the city. She is currently working in the People's Hospital of Wuhan University. https://t.co/RffDp4ts3g https://t.co/ZlvHw7GOaF",Tweet,TweetDeck,0,2,"Shanghai, China",,,English,"""1160779539892408321""","The Paper 澎湃新闻",thepapercn,"Official Twitter account of The Paper (Pengpai News 澎湃新闻), one of #China's leading digital media outlets. Also on Instagram, Facebook, and Youtube!",Verified,https://twitter.com/thepapercn,Non-Protected,4517,146,"12 Aug 2019 05:06:23"
"""1230552700372176900""",https://twitter.com/aawsat_eng/status/1230552700372176900,"20 Feb 2020 18:00:00","Three #Coronavirus Cases in #Iran, Health Officials Demand Halting Religious Gatherings https://t.co/6vyN1bNZD0 https://t.co/eH6SsZXROZ",Tweet,TweetDeck,0,0,London,,,English,"""224430095""","Asharq Al-Awsat English",aawsat_eng,"The English edition of Asharq Al-Awsat, the leading Arab international newspaper @aawsat_news",Verified,https://twitter.com/aawsat_eng,Non-Protected,140683,4,"09 Dec 2010 00:17:59"
"""1230552699768201222""",https://twitter.com/BloombergQuint/status/1230552699768201222,"20 Feb 2020 18:00:00","The novel #coronavirus is shed in the feces of infected people, which may help explain why it’s spread so fast.
https://t.co/k6vSrkBMkN",Tweet,TweetDeck,0,1,"Mumbai, India",,,English,"""714731566828793857""",BloombergQuint,BloombergQuint,"#India’s premier multi-platform #business and financial #news company.

For #BQBlue subscription queries email: support@bloombergquint.com",Verified,https://twitter.com/BloombergQuint,Non-Protected,116588,193,"29 Mar 2016 08:30:59"
